serialNumber,systemIdentifier,acquirerIPAddress,acquiredPort,TLS
831611115,P00002277,192.168.010.121,2201,1
831611116,P00002278,192.168.010.122,2201,1
831611117,P00002279,192.168.010.123,2201,1
831611118,P00002280,192.168.010.124,2201,1
831611119,P00002281,192.168.010.125,2201,1
831611120,P00002282,192.168.010.126,2201,1
831611121,P00002283,192.168.010.127,2201,1
831611122,P00002284,192.168.010.128,2201,1
831611123,P00002285,192.168.010.129,2201,1
831611124,P00002286,192.168.010.130,2201,1
831611125,P00002287,192.168.010.131,2201,1
831611126,P00002288,192.168.010.132,2201,1
831611127,P00002289,192.168.010.133,2201,1
831611128,P00002290,192.168.010.134,2201,1
831611129,P00002291,192.168.010.135,2201,1
831611130,P00002292,192.168.010.136,2201,1
831611131,P00002293,192.168.010.137,2201,1
831611132,P00002294,192.168.010.138,2201,1
831611133,P00002295,192.168.010.139,2201,1
831611134,P00002296,192.168.010.140,2201,1
831611135,P00002297,192.168.010.141,2201,1
831611136,P00002298,192.168.010.142,2201,1
831611137,P00002299,192.168.010.143,2201,1
831611138,P00002300,192.168.010.144,2201,1
831611139,P00002301,192.168.010.145,2201,1
831611140,P00002302,192.168.010.146,2201,1
831611141,P00002303,192.168.010.147,2201,1
831611142,P00002304,192.168.010.148,2201,1
831611143,P00002305,192.168.010.149,2201,1
831611144,P00002306,192.168.010.150,2201,1
831611145,P00002307,192.168.010.151,2201,1
831611146,P00002308,192.168.010.152,2201,1
831611147,P00002309,192.168.010.153,2201,1
831611148,P00002310,192.168.010.154,2201,1
831611149,P00002311,192.168.010.155,2201,1
831611150,P00002312,192.168.010.156,2201,1
831611151,P00002313,192.168.010.157,2201,1
831611152,P00002314,192.168.010.158,2201,1
831611153,P00002315,192.168.010.159,2201,1
831611154,P00002316,192.168.010.160,2201,1
831611155,P00002317,192.168.010.161,2201,1
831611156,P00002318,192.168.010.162,2201,1
831611157,P00002319,192.168.010.163,2201,1
831611158,P00002320,192.168.010.164,2201,1
831611159,P00002321,192.168.010.165,2201,1
831611160,P00002322,192.168.010.166,2201,1
831611161,P00002323,192.168.010.167,2201,1
831611162,P00002324,192.168.010.168,2201,1
831611163,P00002325,192.168.010.169,2201,1
831611164,P00002326,192.168.010.170,2201,1
831611165,P00002327,192.168.010.171,2201,1
831611166,P00002328,192.168.010.172,2201,1
831611167,P00002329,192.168.010.173,2201,1
831611168,P00002330,192.168.010.174,2201,1
831611169,P00002331,192.168.010.175,2201,1
831611170,P00002332,192.168.010.176,2201,1
831611171,P00002333,192.168.010.177,2201,1
831611172,P00002334,192.168.010.178,2201,1
831611173,P00002335,192.168.010.179,2201,1
831611174,P00002336,192.168.010.180,2201,1
831611175,P00002337,192.168.010.181,2201,1
831611176,P00002338,192.168.010.182,2201,1
831611177,P00002339,192.168.010.183,2201,1
831611178,P00002340,192.168.010.184,2201,1
831611179,P00002341,192.168.010.185,2201,1
831611180,P00002342,192.168.010.186,2201,1
831611181,P00002343,192.168.010.187,2201,1
831611182,P00002344,192.168.010.188,2201,1
831611183,P00002345,192.168.010.189,2201,1
831611184,P00002346,192.168.010.190,2201,1
831611185,P00002347,192.168.010.191,2201,1
831611186,P00002348,192.168.010.192,2201,1
831611187,P00002349,192.168.010.193,2201,1
831611188,P00002350,192.168.010.194,2201,1
831611189,P00002351,192.168.010.195,2201,1
831611190,P00002352,192.168.010.196,2201,1
831611191,P00002353,192.168.010.197,2201,1
831611192,P00002354,192.168.010.198,2201,1
831611193,P00002355,192.168.010.199,2201,1
831611194,P00002356,192.168.010.200,2201,1
831611195,P00002357,192.168.010.201,2201,1
831611196,P00002358,192.168.010.202,2201,1
831611197,P00002359,192.168.010.203,2201,1
831611198,P00002360,192.168.010.204,2201,1
831611199,P00002361,192.168.010.205,2201,1
831611200,P00002362,192.168.010.206,2201,1
831611201,P00002363,192.168.010.207,2201,1
831611202,P00002364,192.168.010.208,2201,1
831611203,P00002365,192.168.010.209,2201,1
831611204,P00002366,192.168.010.210,2201,1
831611205,P00002367,192.168.010.211,2201,1
831611206,P00002368,192.168.010.212,2201,1
831611207,P00002369,192.168.010.213,2201,1
831611208,P00002370,192.168.010.214,2201,1
831611209,P00002371,192.168.010.215,2201,1
831611210,P00002372,192.168.010.216,2201,1
831611211,P00002373,192.168.010.217,2201,1
831611212,P00002374,192.168.010.218,2201,1
831611213,P00002375,192.168.010.219,2201,1
831611214,P00002376,192.168.010.220,2201,1
831611215,P00002377,192.168.010.221,2201,1
831611216,P00002378,192.168.010.222,2201,1
831611217,P00002379,192.168.010.223,2201,1
831611218,P00002380,192.168.010.224,2201,1
831611219,P00002381,192.168.010.225,2201,1
831611220,P00002382,192.168.010.226,2201,1
831611221,P00002383,192.168.010.227,2201,1
831611222,P00002384,192.168.010.228,2201,1
831611223,P00002385,192.168.010.229,2201,1
831611224,P00002386,192.168.010.230,2201,1
831611225,P00002387,192.168.010.231,2201,1
831611226,P00002388,192.168.010.232,2201,1
831611227,P00002389,192.168.010.233,2201,1
831611228,P00002390,192.168.010.234,2201,1
831611229,P00002391,192.168.010.235,2201,1
831611230,P00002392,192.168.010.236,2201,1
831611231,P00002393,192.168.010.237,2201,1
831611232,P00002394,192.168.010.238,2201,1
831611233,P00002395,192.168.010.239,2201,1
831611234,P00002396,192.168.010.240,2201,1
831611235,P00002397,192.168.010.241,2201,1
831611236,P00002398,192.168.010.242,2201,1
831611237,P00002399,192.168.010.243,2201,1
831611238,P00002400,192.168.010.244,2201,1
831611239,P00002401,192.168.010.245,2201,1
831611240,P00002402,192.168.010.246,2201,1
831611241,P00002403,192.168.010.247,2201,1
831611242,P00002404,192.168.010.248,2201,1
831611243,P00002405,192.168.010.249,2201,1
831611244,P00002406,192.168.010.250,2201,1
831611245,P00002407,192.168.010.251,2201,1
831611246,P00002408,192.168.010.252,2201,1
831611247,P00002409,192.168.010.253,2201,1
831611248,P00002410,192.168.010.254,2201,1
831611249,P00002411,192.168.010.255,2201,1
831611250,P00002412,192.168.010.256,2201,1
831611251,P00002413,192.168.010.257,2201,1
831611252,P00002414,192.168.010.258,2201,1
831611253,P00002415,192.168.010.259,2201,1
831611254,P00002416,192.168.010.260,2201,1
831611255,P00002417,192.168.010.261,2201,1
831611256,P00002418,192.168.010.262,2201,1
831611257,P00002419,192.168.010.263,2201,1
831611258,P00002420,192.168.010.264,2201,1
831611259,P00002421,192.168.010.265,2201,1
831611260,P00002422,192.168.010.266,2201,1
831611261,P00002423,192.168.010.267,2201,1
831611262,P00002424,192.168.010.268,2201,1
831611263,P00002425,192.168.010.269,2201,1
831611264,P00002426,192.168.010.270,2201,1
831611265,P00002427,192.168.010.271,2201,1
831611266,P00002428,192.168.010.272,2201,1
831611267,P00002429,192.168.010.273,2201,1
831611268,P00002430,192.168.010.274,2201,1
831611269,P00002431,192.168.010.275,2201,1
831611270,P00002432,192.168.010.276,2201,1
831611271,P00002433,192.168.010.277,2201,1
831611272,P00002434,192.168.010.278,2201,1
831611273,P00002435,192.168.010.279,2201,1
831611274,P00002436,192.168.010.280,2201,1
831611275,P00002437,192.168.010.281,2201,1
831611276,P00002438,192.168.010.282,2201,1
831611277,P00002439,192.168.010.283,2201,1
831611278,P00002440,192.168.010.284,2201,1
831611279,P00002441,192.168.010.285,2201,1
831611280,P00002442,192.168.010.286,2201,1
831611281,P00002443,192.168.010.287,2201,1
831611282,P00002444,192.168.010.288,2201,1
831611283,P00002445,192.168.010.289,2201,1
831611284,P00002446,192.168.010.290,2201,1
831611285,P00002447,192.168.010.291,2201,1
831611286,P00002448,192.168.010.292,2201,1
831611287,P00002449,192.168.010.293,2201,1
831611288,P00002450,192.168.010.294,2201,1
831611289,P00002451,192.168.010.295,2201,1
831611290,P00002452,192.168.010.296,2201,1
831611291,P00002453,192.168.010.297,2201,1
831611292,P00002454,192.168.010.298,2201,1
831611293,P00002455,192.168.010.299,2201,1
831611294,P00002456,192.168.010.300,2201,1
831611295,P00002457,192.168.010.301,2201,1
831611296,P00002458,192.168.010.302,2201,1
831611297,P00002459,192.168.010.303,2201,1
831611298,P00002460,192.168.010.304,2201,1
831611299,P00002461,192.168.010.305,2201,1
831611300,P00002462,192.168.010.306,2201,1
831611301,P00002463,192.168.010.307,2201,1
831611302,P00002464,192.168.010.308,2201,1
831611303,P00002465,192.168.010.309,2201,1
831611304,P00002466,192.168.010.310,2201,1
831611305,P00002467,192.168.010.311,2201,1
831611306,P00002468,192.168.010.312,2201,1
831611307,P00002469,192.168.010.313,2201,1
831611308,P00002470,192.168.010.314,2201,1
831611309,P00002471,192.168.010.315,2201,1
831611310,P00002472,192.168.010.316,2201,1
831611311,P00002473,192.168.010.317,2201,1
831611312,P00002474,192.168.010.318,2201,1
831611313,P00002475,192.168.010.319,2201,1
831611314,P00002476,192.168.010.320,2201,1
831611315,P00002477,192.168.010.321,2201,1
831611316,P00002478,192.168.010.322,2201,1
831611317,P00002479,192.168.010.323,2201,1
831611318,P00002480,192.168.010.324,2201,1
831611319,P00002481,192.168.010.325,2201,1
831611320,P00002482,192.168.010.326,2201,1
831611321,P00002483,192.168.010.327,2201,1
831611322,P00002484,192.168.010.328,2201,1
831611323,P00002485,192.168.010.329,2201,1
831611324,P00002486,192.168.010.330,2201,1
831611325,P00002487,192.168.010.331,2201,1
831611326,P00002488,192.168.010.332,2201,1
831611327,P00002489,192.168.010.333,2201,1
831611328,P00002490,192.168.010.334,2201,1
831611329,P00002491,192.168.010.335,2201,1
831611330,P00002492,192.168.010.336,2201,1
831611331,P00002493,192.168.010.337,2201,1
831611332,P00002494,192.168.010.338,2201,1
831611333,P00002495,192.168.010.339,2201,1
831611334,P00002496,192.168.010.340,2201,1
831611335,P00002497,192.168.010.341,2201,1
831611336,P00002498,192.168.010.342,2201,1
831611337,P00002499,192.168.010.343,2201,1
831611338,P00002500,192.168.010.344,2201,1
831611339,P00002501,192.168.010.345,2201,1
831611340,P00002502,192.168.010.346,2201,1
831611341,P00002503,192.168.010.347,2201,1
831611342,P00002504,192.168.010.348,2201,1
831611343,P00002505,192.168.010.349,2201,1
831611344,P00002506,192.168.010.350,2201,1
831611345,P00002507,192.168.010.351,2201,1
831611346,P00002508,192.168.010.352,2201,1
831611347,P00002509,192.168.010.353,2201,1
831611348,P00002510,192.168.010.354,2201,1
831611349,P00002511,192.168.010.355,2201,1
831611350,P00002512,192.168.010.356,2201,1
831611351,P00002513,192.168.010.357,2201,1
831611352,P00002514,192.168.010.358,2201,1
831611353,P00002515,192.168.010.359,2201,1
831611354,P00002516,192.168.010.360,2201,1
831611355,P00002517,192.168.010.361,2201,1
831611356,P00002518,192.168.010.362,2201,1
831611357,P00002519,192.168.010.363,2201,1
831611358,P00002520,192.168.010.364,2201,1
831611359,P00002521,192.168.010.365,2201,1
831611360,P00002522,192.168.010.366,2201,1
831611361,P00002523,192.168.010.367,2201,1
831611362,P00002524,192.168.010.368,2201,1
831611363,P00002525,192.168.010.369,2201,1
831611364,P00002526,192.168.010.370,2201,1
831611365,P00002527,192.168.010.371,2201,1
831611366,P00002528,192.168.010.372,2201,1
831611367,P00002529,192.168.010.373,2201,1
831611368,P00002530,192.168.010.374,2201,1
831611369,P00002531,192.168.010.375,2201,1
831611370,P00002532,192.168.010.376,2201,1
831611371,P00002533,192.168.010.377,2201,1
831611372,P00002534,192.168.010.378,2201,1
831611373,P00002535,192.168.010.379,2201,1
831611374,P00002536,192.168.010.380,2201,1
831611375,P00002537,192.168.010.381,2201,1
831611376,P00002538,192.168.010.382,2201,1
831611377,P00002539,192.168.010.383,2201,1
831611378,P00002540,192.168.010.384,2201,1
831611379,P00002541,192.168.010.385,2201,1
831611380,P00002542,192.168.010.386,2201,1
831611381,P00002543,192.168.010.387,2201,1
831611382,P00002544,192.168.010.388,2201,1
831611383,P00002545,192.168.010.389,2201,1
831611384,P00002546,192.168.010.390,2201,1
831611385,P00002547,192.168.010.391,2201,1
831611386,P00002548,192.168.010.392,2201,1
831611387,P00002549,192.168.010.393,2201,1
831611388,P00002550,192.168.010.394,2201,1
831611389,P00002551,192.168.010.395,2201,1
831611390,P00002552,192.168.010.396,2201,1
831611391,P00002553,192.168.010.397,2201,1
831611392,P00002554,192.168.010.398,2201,1
831611393,P00002555,192.168.010.399,2201,1
831611394,P00002556,192.168.010.400,2201,1
831611395,P00002557,192.168.010.401,2201,1
831611396,P00002558,192.168.010.402,2201,1
831611397,P00002559,192.168.010.403,2201,1
831611398,P00002560,192.168.010.404,2201,1
831611399,P00002561,192.168.010.405,2201,1
831611400,P00002562,192.168.010.406,2201,1
831611401,P00002563,192.168.010.407,2201,1
831611402,P00002564,192.168.010.408,2201,1
831611403,P00002565,192.168.010.409,2201,1
831611404,P00002566,192.168.010.410,2201,1
831611405,P00002567,192.168.010.411,2201,1
831611406,P00002568,192.168.010.412,2201,1
831611407,P00002569,192.168.010.413,2201,1
831611408,P00002570,192.168.010.414,2201,1
831611409,P00002571,192.168.010.415,2201,1
831611410,P00002572,192.168.010.416,2201,1
831611411,P00002573,192.168.010.417,2201,1
831611412,P00002574,192.168.010.418,2201,1
831611413,P00002575,192.168.010.419,2201,1
831611414,P00002576,192.168.010.420,2201,1
831611415,P00002577,192.168.010.421,2201,1
831611416,P00002578,192.168.010.422,2201,1
831611417,P00002579,192.168.010.423,2201,1
831611418,P00002580,192.168.010.424,2201,1
831611419,P00002581,192.168.010.425,2201,1
831611420,P00002582,192.168.010.426,2201,1
831611421,P00002583,192.168.010.427,2201,1
831611422,P00002584,192.168.010.428,2201,1
831611423,P00002585,192.168.010.429,2201,1
831611424,P00002586,192.168.010.430,2201,1
831611425,P00002587,192.168.010.431,2201,1
831611426,P00002588,192.168.010.432,2201,1
831611427,P00002589,192.168.010.433,2201,1
831611428,P00002590,192.168.010.434,2201,1
831611429,P00002591,192.168.010.435,2201,1
831611430,P00002592,192.168.010.436,2201,1
831611431,P00002593,192.168.010.437,2201,1
831611432,P00002594,192.168.010.438,2201,1
831611433,P00002595,192.168.010.439,2201,1
831611434,P00002596,192.168.010.440,2201,1
831611435,P00002597,192.168.010.441,2201,1
831611436,P00002598,192.168.010.442,2201,1
831611437,P00002599,192.168.010.443,2201,1
831611438,P00002600,192.168.010.444,2201,1
831611439,P00002601,192.168.010.445,2201,1
831611440,P00002602,192.168.010.446,2201,1
831611441,P00002603,192.168.010.447,2201,1
831611442,P00002604,192.168.010.448,2201,1
831611443,P00002605,192.168.010.449,2201,1
831611444,P00002606,192.168.010.450,2201,1
831611445,P00002607,192.168.010.451,2201,1
831611446,P00002608,192.168.010.452,2201,1
831611447,P00002609,192.168.010.453,2201,1
831611448,P00002610,192.168.010.454,2201,1
831611449,P00002611,192.168.010.455,2201,1
831611450,P00002612,192.168.010.456,2201,1
831611451,P00002613,192.168.010.457,2201,1
831611452,P00002614,192.168.010.458,2201,1
831611453,P00002615,192.168.010.459,2201,1
831611454,P00002616,192.168.010.460,2201,1
831611455,P00002617,192.168.010.461,2201,1
831611456,P00002618,192.168.010.462,2201,1
831611457,P00002619,192.168.010.463,2201,1
831611458,P00002620,192.168.010.464,2201,1
831611459,P00002621,192.168.010.465,2201,1
831611460,P00002622,192.168.010.466,2201,1
831611461,P00002623,192.168.010.467,2201,1
831611462,P00002624,192.168.010.468,2201,1
831611463,P00002625,192.168.010.469,2201,1
831611464,P00002626,192.168.010.470,2201,1
831611465,P00002627,192.168.010.471,2201,1
831611466,P00002628,192.168.010.472,2201,1
831611467,P00002629,192.168.010.473,2201,1
831611468,P00002630,192.168.010.474,2201,1
831611469,P00002631,192.168.010.475,2201,1
831611470,P00002632,192.168.010.476,2201,1
831611471,P00002633,192.168.010.477,2201,1
831611472,P00002634,192.168.010.478,2201,1
831611473,P00002635,192.168.010.479,2201,1
831611474,P00002636,192.168.010.480,2201,1
831611475,P00002637,192.168.010.481,2201,1
831611476,P00002638,192.168.010.482,2201,1
831611477,P00002639,192.168.010.483,2201,1
831611478,P00002640,192.168.010.484,2201,1
831611479,P00002641,192.168.010.485,2201,1
831611480,P00002642,192.168.010.486,2201,1
831611481,P00002643,192.168.010.487,2201,1
831611482,P00002644,192.168.010.488,2201,1
831611483,P00002645,192.168.010.489,2201,1
831611484,P00002646,192.168.010.490,2201,1
831611485,P00002647,192.168.010.491,2201,1
831611486,P00002648,192.168.010.492,2201,1
831611487,P00002649,192.168.010.493,2201,1
831611488,P00002650,192.168.010.494,2201,1
831611489,P00002651,192.168.010.495,2201,1
831611490,P00002652,192.168.010.496,2201,1
831611491,P00002653,192.168.010.497,2201,1
831611492,P00002654,192.168.010.498,2201,1
831611493,P00002655,192.168.010.499,2201,1
831611494,P00002656,192.168.010.500,2201,1
831611495,P00002657,192.168.010.501,2201,1
831611496,P00002658,192.168.010.502,2201,1
831611497,P00002659,192.168.010.503,2201,1
831611498,P00002660,192.168.010.504,2201,1
831611499,P00002661,192.168.010.505,2201,1
831611500,P00002662,192.168.010.506,2201,1
831611501,P00002663,192.168.010.507,2201,1
831611502,P00002664,192.168.010.508,2201,1
831611503,P00002665,192.168.010.509,2201,1
831611504,P00002666,192.168.010.510,2201,1
831611505,P00002667,192.168.010.511,2201,1
831611506,P00002668,192.168.010.512,2201,1
831611507,P00002669,192.168.010.513,2201,1
831611508,P00002670,192.168.010.514,2201,1
831611509,P00002671,192.168.010.515,2201,1
831611510,P00002672,192.168.010.516,2201,1
831611511,P00002673,192.168.010.517,2201,1
831611512,P00002674,192.168.010.518,2201,1
831611513,P00002675,192.168.010.519,2201,1
831611514,P00002676,192.168.010.520,2201,1
831611515,P00002677,192.168.010.521,2201,1
831611516,P00002678,192.168.010.522,2201,1
831611517,P00002679,192.168.010.523,2201,1
831611518,P00002680,192.168.010.524,2201,1
831611519,P00002681,192.168.010.525,2201,1
831611520,P00002682,192.168.010.526,2201,1
831611521,P00002683,192.168.010.527,2201,1
831611522,P00002684,192.168.010.528,2201,1
831611523,P00002685,192.168.010.529,2201,1
831611524,P00002686,192.168.010.530,2201,1
831611525,P00002687,192.168.010.531,2201,1
831611526,P00002688,192.168.010.532,2201,1
831611527,P00002689,192.168.010.533,2201,1
831611528,P00002690,192.168.010.534,2201,1
831611529,P00002691,192.168.010.535,2201,1
831611530,P00002692,192.168.010.536,2201,1
831611531,P00002693,192.168.010.537,2201,1
831611532,P00002694,192.168.010.538,2201,1
831611533,P00002695,192.168.010.539,2201,1
831611534,P00002696,192.168.010.540,2201,1
831611535,P00002697,192.168.010.541,2201,1
831611536,P00002698,192.168.010.542,2201,1
831611537,P00002699,192.168.010.543,2201,1
831611538,P00002700,192.168.010.544,2201,1
831611539,P00002701,192.168.010.545,2201,1
831611540,P00002702,192.168.010.546,2201,1
831611541,P00002703,192.168.010.547,2201,1
831611542,P00002704,192.168.010.548,2201,1
831611543,P00002705,192.168.010.549,2201,1
831611544,P00002706,192.168.010.550,2201,1
831611545,P00002707,192.168.010.551,2201,1
831611546,P00002708,192.168.010.552,2201,1
831611547,P00002709,192.168.010.553,2201,1
831611548,P00002710,192.168.010.554,2201,1
831611549,P00002711,192.168.010.555,2201,1
831611550,P00002712,192.168.010.556,2201,1
831611551,P00002713,192.168.010.557,2201,1
831611552,P00002714,192.168.010.558,2201,1
831611553,P00002715,192.168.010.559,2201,1
831611554,P00002716,192.168.010.560,2201,1
831611555,P00002717,192.168.010.561,2201,1
831611556,P00002718,192.168.010.562,2201,1
831611557,P00002719,192.168.010.563,2201,1
831611558,P00002720,192.168.010.564,2201,1
831611559,P00002721,192.168.010.565,2201,1
831611560,P00002722,192.168.010.566,2201,1
831611561,P00002723,192.168.010.567,2201,1
831611562,P00002724,192.168.010.568,2201,1
831611563,P00002725,192.168.010.569,2201,1
831611564,P00002726,192.168.010.570,2201,1
831611565,P00002727,192.168.010.571,2201,1
831611566,P00002728,192.168.010.572,2201,1
831611567,P00002729,192.168.010.573,2201,1
831611568,P00002730,192.168.010.574,2201,1
831611569,P00002731,192.168.010.575,2201,1
831611570,P00002732,192.168.010.576,2201,1
831611571,P00002733,192.168.010.577,2201,1
831611572,P00002734,192.168.010.578,2201,1
831611573,P00002735,192.168.010.579,2201,1
831611574,P00002736,192.168.010.580,2201,1
831611575,P00002737,192.168.010.581,2201,1
831611576,P00002738,192.168.010.582,2201,1
831611577,P00002739,192.168.010.583,2201,1
831611578,P00002740,192.168.010.584,2201,1
831611579,P00002741,192.168.010.585,2201,1
831611580,P00002742,192.168.010.586,2201,1
831611581,P00002743,192.168.010.587,2201,1
831611582,P00002744,192.168.010.588,2201,1
831611583,P00002745,192.168.010.589,2201,1
831611584,P00002746,192.168.010.590,2201,1
831611585,P00002747,192.168.010.591,2201,1
831611586,P00002748,192.168.010.592,2201,1
831611587,P00002749,192.168.010.593,2201,1
831611588,P00002750,192.168.010.594,2201,1
831611589,P00002751,192.168.010.595,2201,1
831611590,P00002752,192.168.010.596,2201,1
831611591,P00002753,192.168.010.597,2201,1
831611592,P00002754,192.168.010.598,2201,1
831611593,P00002755,192.168.010.599,2201,1
831611594,P00002756,192.168.010.600,2201,1
831611595,P00002757,192.168.010.601,2201,1
831611596,P00002758,192.168.010.602,2201,1
831611597,P00002759,192.168.010.603,2201,1
831611598,P00002760,192.168.010.604,2201,1
831611599,P00002761,192.168.010.605,2201,1
831611600,P00002762,192.168.010.606,2201,1
831611601,P00002763,192.168.010.607,2201,1
831611602,P00002764,192.168.010.608,2201,1
831611603,P00002765,192.168.010.609,2201,1
831611604,P00002766,192.168.010.610,2201,1
831611605,P00002767,192.168.010.611,2201,1
831611606,P00002768,192.168.010.612,2201,1
831611607,P00002769,192.168.010.613,2201,1
831611608,P00002770,192.168.010.614,2201,1
831611609,P00002771,192.168.010.615,2201,1
831611610,P00002772,192.168.010.616,2201,1
831611611,P00002773,192.168.010.617,2201,1
831611612,P00002774,192.168.010.618,2201,1
831611613,P00002775,192.168.010.619,2201,1
831611614,P00002776,192.168.010.620,2201,1
831611615,P00002777,192.168.010.621,2201,1
831611616,P00002778,192.168.010.622,2201,1
831611617,P00002779,192.168.010.623,2201,1
831611618,P00002780,192.168.010.624,2201,1
831611619,P00002781,192.168.010.625,2201,1
831611620,P00002782,192.168.010.626,2201,1
831611621,P00002783,192.168.010.627,2201,1
831611622,P00002784,192.168.010.628,2201,1
831611623,P00002785,192.168.010.629,2201,1
831611624,P00002786,192.168.010.630,2201,1
831611625,P00002787,192.168.010.631,2201,1
831611626,P00002788,192.168.010.632,2201,1
831611627,P00002789,192.168.010.633,2201,1
831611628,P00002790,192.168.010.634,2201,1
831611629,P00002791,192.168.010.635,2201,1
831611630,P00002792,192.168.010.636,2201,1
831611631,P00002793,192.168.010.637,2201,1
831611632,P00002794,192.168.010.638,2201,1
831611633,P00002795,192.168.010.639,2201,1
831611634,P00002796,192.168.010.640,2201,1
831611635,P00002797,192.168.010.641,2201,1
831611636,P00002798,192.168.010.642,2201,1
831611637,P00002799,192.168.010.643,2201,1
831611638,P00002800,192.168.010.644,2201,1
831611639,P00002801,192.168.010.645,2201,1
831611640,P00002802,192.168.010.646,2201,1
831611641,P00002803,192.168.010.647,2201,1
831611642,P00002804,192.168.010.648,2201,1
831611643,P00002805,192.168.010.649,2201,1
831611644,P00002806,192.168.010.650,2201,1
831611645,P00002807,192.168.010.651,2201,1
831611646,P00002808,192.168.010.652,2201,1
831611647,P00002809,192.168.010.653,2201,1
831611648,P00002810,192.168.010.654,2201,1
831611649,P00002811,192.168.010.655,2201,1
831611650,P00002812,192.168.010.656,2201,1
831611651,P00002813,192.168.010.657,2201,1
831611652,P00002814,192.168.010.658,2201,1
831611653,P00002815,192.168.010.659,2201,1
831611654,P00002816,192.168.010.660,2201,1
831611655,P00002817,192.168.010.661,2201,1
831611656,P00002818,192.168.010.662,2201,1
831611657,P00002819,192.168.010.663,2201,1
831611658,P00002820,192.168.010.664,2201,1
831611659,P00002821,192.168.010.665,2201,1
831611660,P00002822,192.168.010.666,2201,1
831611661,P00002823,192.168.010.667,2201,1
831611662,P00002824,192.168.010.668,2201,1
831611663,P00002825,192.168.010.669,2201,1
831611664,P00002826,192.168.010.670,2201,1
831611665,P00002827,192.168.010.671,2201,1
831611666,P00002828,192.168.010.672,2201,1
831611667,P00002829,192.168.010.673,2201,1
831611668,P00002830,192.168.010.674,2201,1
831611669,P00002831,192.168.010.675,2201,1
831611670,P00002832,192.168.010.676,2201,1
831611671,P00002833,192.168.010.677,2201,1
831611672,P00002834,192.168.010.678,2201,1
831611673,P00002835,192.168.010.679,2201,1
831611674,P00002836,192.168.010.680,2201,1
831611675,P00002837,192.168.010.681,2201,1
831611676,P00002838,192.168.010.682,2201,1
831611677,P00002839,192.168.010.683,2201,1
831611678,P00002840,192.168.010.684,2201,1
831611679,P00002841,192.168.010.685,2201,1
831611680,P00002842,192.168.010.686,2201,1
831611681,P00002843,192.168.010.687,2201,1
831611682,P00002844,192.168.010.688,2201,1
831611683,P00002845,192.168.010.689,2201,1
831611684,P00002846,192.168.010.690,2201,1
831611685,P00002847,192.168.010.691,2201,1
831611686,P00002848,192.168.010.692,2201,1
831611687,P00002849,192.168.010.693,2201,1
831611688,P00002850,192.168.010.694,2201,1
831611689,P00002851,192.168.010.695,2201,1
831611690,P00002852,192.168.010.696,2201,1
831611691,P00002853,192.168.010.697,2201,1
831611692,P00002854,192.168.010.698,2201,1
831611693,P00002855,192.168.010.699,2201,1
831611694,P00002856,192.168.010.700,2201,1
831611695,P00002857,192.168.010.701,2201,1
831611696,P00002858,192.168.010.702,2201,1
